studyAccession,individualAccession,individualName,sampleAccession,sampleDescription,sampleName,gender,runAccession,dataName,experimentAccession,platform,strategy
HRA000021,HRI035286,Null,HRS039792,,BDESCC0004N,female,HRR067347,HRR067347.bam::NOT_FOUND,HRX048834,Null,WES
HRA000021,HRI035286,Null,HRS039793,,BDESCC0004T,female,HRR067348,HRR067348.bam::NOT_FOUND,HRX048835,Null,WES
HRA000021,HRI035287,Null,HRS039794,,BDESCC0006N,male,HRR067349,HRR067349.bam::NOT_FOUND,HRX048836,Null,WES
HRA000021,HRI035287,Null,HRS039795,,BDESCC0006T,male,HRR067350,HRR067350.bam::NOT_FOUND,HRX048837,Null,WES
HRA000021,HRI035288,Null,HRS039796,,BDESCC0007N,male,HRR067351,HRR067351.bam::NOT_FOUND,HRX048838,Null,WES
HRA000021,HRI035288,Null,HRS039797,,BDESCC0007T,male,HRR067352,HRR067352.bam::NOT_FOUND,HRX048839,Null,WES
HRA000021,HRI035289,Null,HRS039798,,BDESCC0008N,male,HRR067353,HRR067353.bam::NOT_FOUND,HRX048840,Null,WES
HRA000021,HRI035289,Null,HRS039799,,BDESCC0008T,male,HRR067354,HRR067354.bam::NOT_FOUND,HRX048841,Null,WES
HRA000021,HRI035290,Null,HRS039800,,BDESCC0009N,male,HRR067355,HRR067355.bam::NOT_FOUND,HRX048842,Null,WES
HRA000021,HRI035290,Null,HRS039801,,BDESCC0009T,male,HRR067356,HRR067356.bam::NOT_FOUND,HRX048843,Null,WES
HRA000021,HRI035291,Null,HRS039802,,BDESCC0010N,female,HRR067357,HRR067357.bam::NOT_FOUND,HRX048844,Null,WES
HRA000021,HRI035291,Null,HRS039803,,BDESCC0010T,female,HRR067358,HRR067358.bam::NOT_FOUND,HRX048845,Null,WES
HRA000021,HRI035292,Null,HRS039804,,BDESCC0011N,male,HRR067359,HRR067359.bam::NOT_FOUND,HRX048846,Null,WES
HRA000021,HRI035292,Null,HRS039805,,BDESCC0011T,male,HRR067360,HRR067360.bam::NOT_FOUND,HRX048847,Null,WES
HRA000021,HRI035293,Null,HRS039806,,BDESCC0013N,male,HRR067361,HRR067361.bam::NOT_FOUND,HRX048848,Null,WES
HRA000021,HRI035293,Null,HRS039807,,BDESCC0013T,male,HRR067362,HRR067362.bam::NOT_FOUND,HRX048849,Null,WES
HRA000021,HRI035294,Null,HRS039808,,BDESCC0014N,male,HRR067363,HRR067363.bam::NOT_FOUND,HRX048850,Null,WES
HRA000021,HRI035294,Null,HRS039809,,BDESCC0014T,male,HRR067364,HRR067364.bam::NOT_FOUND,HRX048851,Null,WES
HRA000021,HRI035295,Null,HRS039810,,BDESCC0015N,female,HRR067365,HRR067365.bam::NOT_FOUND,HRX048852,Null,WES
HRA000021,HRI035295,Null,HRS039811,,BDESCC0015T,female,HRR067366,HRR067366.bam::NOT_FOUND,HRX048853,Null,WES
HRA000021,HRI035296,Null,HRS039812,,BDESCC0017N,male,HRR067367,HRR067367.bam::NOT_FOUND,HRX048854,Null,WES
HRA000021,HRI035296,Null,HRS039813,,BDESCC0017T,male,HRR067368,HRR067368.bam::NOT_FOUND,HRX048855,Null,WES
HRA000021,HRI035297,Null,HRS039814,,BDESCC0019N,female,HRR067369,HRR067369.bam::NOT_FOUND,HRX048856,Null,WES
HRA000021,HRI035297,Null,HRS039815,,BDESCC0019T,female,HRR067370,HRR067370.bam::NOT_FOUND,HRX048857,Null,WES
HRA000021,HRI035298,Null,HRS039816,,BDESCC0020N,female,HRR067371,HRR067371.bam::NOT_FOUND,HRX048858,Null,WES
HRA000021,HRI035298,Null,HRS039817,,BDESCC0020T,female,HRR067372,HRR067372.bam::NOT_FOUND,HRX048859,Null,WES
HRA000021,HRI035299,Null,HRS039818,,BDESCC0023N,female,HRR067373,HRR067373.bam::NOT_FOUND,HRX048860,Null,WES
HRA000021,HRI035299,Null,HRS039819,,BDESCC0023T,female,HRR067374,HRR067374.bam::NOT_FOUND,HRX048861,Null,WES
HRA000021,HRI035300,Null,HRS039820,,BDESCC0026N,male,HRR067375,HRR067375.bam::NOT_FOUND,HRX048862,Null,WES
HRA000021,HRI035300,Null,HRS039821,,BDESCC0026T,male,HRR067376,HRR067376.bam::NOT_FOUND,HRX048863,Null,WES
HRA000021,HRI035301,Null,HRS039822,,BDESCC0027N,male,HRR067377,HRR067377.bam::NOT_FOUND,HRX048864,Null,WES
HRA000021,HRI035301,Null,HRS039823,,BDESCC0027T,male,HRR067378,HRR067378.bam::NOT_FOUND,HRX048865,Null,WES
HRA000021,HRI035302,Null,HRS039824,,BDESCC0028N,male,HRR067379,HRR067379.bam::NOT_FOUND,HRX048866,Null,WES
HRA000021,HRI035302,Null,HRS039825,,BDESCC0028T,male,HRR067380,HRR067380.bam::NOT_FOUND,HRX048867,Null,WES
HRA000021,HRI035303,Null,HRS039826,,BDESCC0029N,female,HRR067381,HRR067381.bam::NOT_FOUND,HRX048868,Null,WES
HRA000021,HRI035303,Null,HRS039827,,BDESCC0029T,female,HRR067382,HRR067382.bam::NOT_FOUND,HRX048869,Null,WES
HRA000021,HRI035304,Null,HRS039828,,BDESCC0030N,male,HRR067383,HRR067383.bam::NOT_FOUND,HRX048870,Null,WES
HRA000021,HRI035304,Null,HRS039829,,BDESCC0030T,male,HRR067384,HRR067384.bam::NOT_FOUND,HRX048871,Null,WES
HRA000021,HRI035305,Null,HRS039830,,BDESCC0031N,male,HRR067385,HRR067385.bam::NOT_FOUND,HRX048872,Null,WES
HRA000021,HRI035305,Null,HRS039831,,BDESCC0031T,male,HRR067386,HRR067386.bam::NOT_FOUND,HRX048873,Null,WES
